user_id,item_id,rating,timestamp
0,1,1,1
0,2,1,2
0,3,1,3
0,4,1,4
0,5,1,5
0,6,1,6
0,7,1,7
0,8,1,8
0,9,1,9
0,10,1,10
0,11,1,11
0,12,1,12
0,13,1,13
0,14,1,14
0,15,1,15
0,16,1,16
0,17,1,17
0,18,1,18
0,19,1,19
0,20,1,20
0,21,1,21
0,22,1,22
0,23,1,23
0,24,1,24
0,25,1,25
0,26,1,26
0,27,1,27
0,28,1,28
0,29,1,29
0,30,1,30
1,3,1,31
1,4,1,32
1,5,1,33
1,6,1,34
1,7,1,35
1,8,1,36
1,9,1,37
1,10,1,38
1,11,1,39
1,22,1,40
1,23,1,41
1,24,1,42
1,25,1,43
1,26,1,44
1,27,1,45
1,28,1,46
1,29,1,47
1,30,1,48
1,1,1,49
1,2,1,50
2,25,1,51
2,26,1,52
2,27,1,53
2,28,1,54
2,17,1,55
2,18,1,56
2,19,1,57
2,5,1,58
2,6,1,59
2,7,1,60
2,8,1,61
2,9,1,62
2,10,1,63
2,11,1,64
2,22,1,65
2,23,1,66
2,24,1,67
2,1,1,68
2,2,1,69
2,3,1,70
3,2,1,20
3,3,1,21
3,4,1,22
4,31,1,11
4,32,1,12
4,30,1,13
